排名,代码,名称,关注数,最新价,平台,榜单类型,讨论热度,涨跌幅,换手率,成交量,放量天数,更新时间
1,SH600519,贵州茅台,3543191.0,1455.02,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
2,SH601318,中国平安,2992839.0,63.09,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
3,SH600036,招商银行,2749143.0,38.75,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
4,SZ000651,格力电器,2454395.0,37.45,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
5,SZ002594,比亚迪,2240433.0,89.32,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
6,SZ000002,万科A,2109167.0,4.84,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
7,SH600887,伊利股份,2082546.0,26.08,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
8,SZ000858,五粮液,1948224.0,104.05,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
9,SH601166,兴业银行,1930412.0,18.31,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
10,SH600276,恒瑞医药,1902260.0,56.56,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
11,SH601919,中远海控,1887364.0,15.01,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
12,SZ300059,东方财富,1832513.0,22.52,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
13,SH601012,隆基绿能,1805790.0,18.32,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
14,SZ000333,美的集团,1804070.0,78.64,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
15,SH603288,海天味业,1782275.0,35.96,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
16,SZ300750,宁德时代,1765549.0,342.01,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
17,SZ002415,海康威视,1755276.0,31.44,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
18,SZ000725,京东方A,1752715.0,4.48,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
19,SZ000895,双汇发展,1709415.0,26.28,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
20,SH600900,长江电力,1579562.0,26.04,雪球,关注排行榜,,,,,,2026-03-01 11:57:08
1,SZ002594,比亚迪,,89.32,雪球,讨论排行榜,0.0,,,,,2026-03-01 11:57:08
2,SH600519,贵州茅台,,1455.02,雪球,讨论排行榜,0.0,,,,,2026-03-01 11:57:08
